url,published,change_date,change_date_category,developed,start_date,parent,logo,slug,name,checksum,websites,created_at,updated_at,description,country,changed_company_id,start_date_category,id
https://www.igdb.com/companies/empire-interactive,"[200, 582, 679, 726, 789, 838, 895, 1961, 2489, 2667, 2668, 2805, 3686, 3691, 3777, 3809, 4183, 4867, 4868, 4869, 4870, 5727, 5736, 5816, 6186, 6187, 6212, 6592, 6787, 8010, 9258, 9430, 10153, 10758, 12905, 14622, 18333, 21376, 21543, 21682, 22307, 22401, 22774, 23098, 24326, 43384, 43752, 47352, 50392, 69220, 85914, 94399, 94489, 98294, 147273, 229705, 243809, 248605]",1241395200.0,0,"[5748, 6186, 11436, 20799, 23098, 122453, 147273]",567907200.0,,305.0,empire-interactive,Empire Interactive,1ee937bb-7c8e-48a7-72aa-62ac698f6763,,1303241063,1688813649,,826.0,,2,340
https://www.igdb.com/companies/mahetus,,,7,,,,,mahetus,Mahetus,5b78a83b-b1ca-e97c-42e0-1b3d9a7ae0dd,,1688807131,1688807131,,,,7,48487
https://www.igdb.com/companies/blackwolftr,,,7,,,,,blackwolftr,BlackWolfTR,12910c31-bff7-a1a1-1c4f-b51fb2bbc84d,,1688807067,1688807067,,,,7,48486
https://www.igdb.com/companies/psg-system-laboratory,,,7,,,,,psg-system-laboratory,PsG System Laboratory,65265c87-4d20-6ba1-f770-2199b6073207,,1688804403,1688804403,,,,7,48485
https://www.igdb.com/companies/clm-games,,,7,,,,,clm-games,CLM Games,08280302-3231-b69e-9f81-5eb0bb6df055,,1688803816,1688803816,,,,7,48484
https://www.igdb.com/companies/landshark-games,,,7,,,,,landshark-games,LandShark Games,39b205de-caa9-48cd-8c68-4bf316a8c8ed,,1688803638,1688803638,,,,7,48483
https://www.igdb.com/companies/janis,,,7,,,,,janis,JANIS,d5630b04-6c78-cae9-82f9-7659fb6e48be,,1688796010,1688796010,,,,7,48482
https://www.igdb.com/companies/ivory,,,7,,,,,ivory,ivory,270ae398-8269-a1b0-2364-c57323dd1374,,1688795856,1688795856,,,,7,48481
https://www.igdb.com/companies/paradigma-editora,,,7,,,,,paradigma-editora,Paradigma Editora,7bb282b3-b782-4b19-1b49-ace67c0237f9,,1688773766,1688773766,,,,7,48480
https://www.igdb.com/companies/z-movie-studio,,,7,,,,,z-movie-studio,Z-Movie Studio,e5c5061d-6777-5cd3-e662-12b9359a9023,,1688773701,1688773701,,,,7,48479
https://www.igdb.com/companies/zagoiris,,,7,,,,,zagoiris,zagoiris,88e7d01e-6f93-50f3-061c-48f989ded6f2,,1688764914,1688764914,,,,7,48478
https://www.igdb.com/companies/solvendo-games,,,7,,,,,solvendo-games,Solvendo Games,bceb0add-1881-4d66-8044-be452b67aa47,,1688762939,1688762939,,,,7,48477
https://www.igdb.com/companies/influx-games,,,7,,,,,influx-games,Influx Games,2ec3caa9-7dec-db15-824f-9ce4e60090a3,,1688751889,1688751889,,,,7,48476
