created_at,slug,name,updated_at,checksum,games,url,id
1341175224960,disney,Disney,1688546408,9e17844a-8c46-3612-464d-3ee4465b23ff,"[360, 540, 542, 1166, 1220, 1509, 1510, 2361, 2473, 2904, 2926, 2933, 3006, 3166, 3254, 3398, 3408, 3467, 3613, 3773, 3782, 3849, 3880, 3881, 3882, 3883, 3884, 3885, 3886, 3887, 4066, 4234, 4406, 4666, 4747, 4806, 4807, 4809, 4811, 4812, 5100, 5212, 5218, 5240, 5241, 5254, 5261, 5982, 6379, 6434, 6480, 6487, 6488, 6490, 6518, 6756, 6765, 7220, 7356, 7654, 8020, 8067, 8118, 8122, 8123, 8124, 8125, 8126, 8127, 8128, 8129, 8130, 8144, 8150, 8152, 8163, 8446, 8447, 8448, 8451, 8452, 9814, 10610, 10791, 11083, 11495, 11963, 12052, 12122, 12910, 12921, 13379, 17172, 17753, 17765, 17818, 17829, 18102, 18628, 19097, 19212, 19218, 19248, 19900, 20390, 20542, 20627, 21086, 21282, 23586, 23792, 24952, 24979, 25911, 25912, 27791, 30977, 30979, 36228, 36312, 38844, 38886, 40638, 40695, 42300, 42488, 42489, 42543, 43375, 43499, 43724, 43737, 43895, 44013, 44014, 44025, 44065, 44764, 44839, 44877, 45043, 45228, 45561, 45564, 45575, 45628, 45780, 46210, 46233, 46431, 46434, 46673, 47728, 47788, 47789, 47790, 47822, 47859, 47868, 48168, 48990, 48992, 49123, 49124, 49153, 49186, 49190, 49202, 49261, 49275, 49278, 49282, 49304, 49376, 49404, 49405, 49406, 49407, 49409, 49410, 49411, 49463, 49478, 49494, 49841, 49919, 49922, 49942, 50008, 50016, 50099, 50307, 50424, 50426, 50427, 50478, 50479, 50681, 50687, 51281, 51370, 51375, 53943, 55072, 55859, 56004, 56042, 57214, 57622, 57919, 57920, 58005, 58639, 58644, 58849, 59938, 59939, 60193, 60243, 60692, 60832, 61672, 61680, 61822, 61960, 62187, 62415, 63051, 63272, 63748, 64080, 64308, 65125, 65155, 65583, 65604, 65768, 66270, 66836, 66851, 66982, 67757, 68735, 69051, 69056, 69231, 69759, 69885, 70222, 70247, 70250, 70964, 71089, 71154, 71630, 71876, 71987, 72032, 72123, 72135, 72885, 73453, 73552, 73651, 74101, 74108, 74426, 76602, 77061, 77330, 78004, 78216, 78286, 78482, 78484, 78590, 78640, 78641, 78680, 79059, 79552, 79718, 79813, 79840, 79914, 79954, 80295, 81206, 81487, 83509, 83783, 85089, 85959, 86045, 89817, 91476, 92058, 96138, 97983, 98009, 98146, 98240, 98278, 98558, 98569, 106270, 108251, 109480, 111548, 113889, 115332, 116973, 117776, 120518, 120809, 122082, 122508, 123397, 123599, 124644, 127640, 127641, 132096, 133765, 134223, 137177, 137761, 138106, 138359, 139313, 140087, 140649, 141653, 145162, 145181, 145182, 145210, 145266, 145268, 145272, 146342, 153448, 153449, 153451, 172397, 172428, 175636, 191528, 194266, 196207, 198506, 198669, 198696, 198750, 198763, 200503, 200995, 201338, 201926, 202087, 202117, 202118, 202148, 204566, 204571, 204573, 204575, 204576, 204613, 204616, 204619, 204668, 205583, 205612, 205928, 205930, 206151, 208754, 208897, 209033, 209034, 210274, 210281, 210442, 212758, 213163, 213378, 213469, 214046, 214986, 215079, 216278, 217587, 220082, 220083, 220084, 220099, 220271, 220273, 221671, 221798, 221799, 221806, 221807, 221997, 221998, 228422, 228443, 228445, 228446, 228447, 228495, 228661, 228672, 228708, 228812, 228813, 229231, 229851, 230056, 230061, 230069, 230130, 230424, 236672, 240940, 241721, 242808, 242816, 242927, 242994, 243185, 243192, 243810, 243811, 243812, 243813, 243816, 243817, 243818, 245438, 245440, 245441, 246508, 246509, 246510, 246511, 246512, 246513, 246514, 246515, 246516, 246517, 246518, 246519, 246520, 246522, 246524, 246525, 246526, 246527, 246529, 246531, 246532, 246533, 246536, 246552, 246557, 246638, 248304, 248465, 248515, 248516, 248552, 248583, 248637, 252303, 254261]",https://www.igdb.com/franchises/disney,26
1688535631968,gran-saga,Gran Saga,1688535631,44f40126-8785-6428-926a-3f8ed4cb6503,,https://www.igdb.com/franchises/gran-saga,4714
1688513465698,virt-a-mate,Virt-A-Mate,1688513465,1801737e-ec81-d4a3-e0ef-760ab273adb2,,https://www.igdb.com/franchises/virt-a-mate,4713
1688479179800,last-labyrinth,Last Labyrinth,1688479179,7c6d88ed-d597-bece-86da-64d2d155d8af,,https://www.igdb.com/franchises/last-labyrinth,4712
1688475673964,tacty-studio,Tacty Studio,1688475673,5b5a2184-5cb5-b70d-809c-20f63ab8a948,,https://www.igdb.com/franchises/tacty-studio,4711
1688419169620,meister-eder-und-sein-pumuckl,Meister Eder und sein Pumuckl,1688419169,addca5e5-5e61-818e-330d-6ff5ee7502ad,,https://www.igdb.com/franchises/meister-eder-und-sein-pumuckl,4710
1688409768330,slendrinas-storyline-games,Slendrina's Storyline Games,1688409768,5eb4e4d1-26c3-265a-a00d-c7b0bd2e1f20,,https://www.igdb.com/franchises/slendrinas-storyline-games,4709
1688390094981,tackling,Tackling,1688390094,aa3d3094-6913-ced0-1ff0-a8805263ccb1,,https://www.igdb.com/franchises/tackling,4708
1688384721411,pro-rally,Pro Rally,1688384721,b65ced92-5f9d-1a9e-73ce-478b29804221,,https://www.igdb.com/franchises/pro-rally,4707
1389337988095,hello-kitty,Hello Kitty,1688376644,ec3c6ac7-c9a2-386f-9833-d69ec1e7cd62,"[3685, 3686, 3687, 3688, 3689, 3690, 3691, 3692, 7437, 7463, 25192, 35243, 36741, 37860, 37964, 48626, 48637, 48638, 50562, 61677, 62781, 65521, 65598, 80707, 83208, 84769, 96208, 97222, 97415, 104764, 115185, 121933, 145723, 172536, 186743, 198926, 200556, 200561, 200641, 204458, 204737, 205626, 206065, 206159, 206192, 206193, 206194, 207263, 207264, 208279, 212698, 214363, 218237, 218355, 225660, 228432, 228559, 228560, 230033, 230046, 230066, 230272, 231018, 231386, 246935, 246936, 250129, 255351, 255352]",https://www.igdb.com/franchises/hello-kitty,160
